NodeId:21	12.35049236257827,11.141030187647441
NodeId:0	0.6841879945769511,0.6926418194435304,1,15,66,96
NodeId:1	1.2512287993674585,1.2679605922379222,37,72
NodeId:10	0.8686105669430549,0.8818990064220873,4,6,38,67,78,80
NodeId:11	0.6082117088709618,0.6160232399729775,6,28,40,49,51,67,89
NodeId:12	0.9083595409140903,0.9208960754865296,24,28,50,55,67,85,98
NodeId:13	0.84718469181502,0.8582771605286106,25,32,33,35,76
NodeId:14	0.181092644319731,0.1833440694507064,36,39,44,62,98
NodeId:15	1.2380596956029772,1.254710242586286,47,70,79,95,97
NodeId:16	0.5653193048401586,0.5718874570188371,45,52,67,80
NodeId:17	0.44894003023076684,0.4554812883288373,18,39,41,53,63,72,79,99
NodeId:18	0.9767910655574785,0.9900499525357054,52,61,62,87
NodeId:19	0.8542338288316098,0.8663550005683295,27,33,37,45,92
NodeId:2	0.9857840899945439,0.9987932733731497,31,63
NodeId:20	1.1528876338428762,1.1694908216681337,7,94
NodeId:22	1.0422122628199224,1.0575937154894823,25,65,72,83,97
NodeId:23	0.48672626982257616,0.4927772633965196,92,99
NodeId:24	0.9369659201713179,0.9504400088057064,9,10,18,38,55,93,94
NodeId:25	0.7539680312455906,0.7651052831997865,63
NodeId:26	0.7904836328436591,0.800842319995643,15,23,28,64
NodeId:27	1.3502262508492082,1.3701248546429996,32,68,70,92
NodeId:28	0.8277408445320396,0.8394735046706078,21,25,72
NodeId:29	0.8586126757077543,0.8700056196654871,18,23,31,36,86
NodeId:3	0.7197491754313663,0.731827512786033,30,42,45,86
NodeId:30	0.8045527282245541,0.8160281066581638,80,84,95
NodeId:31	2.3176117197033164,2.348266237676621,29,36,46,49,54,62,70,85
NodeId:32	0.9347685380483989,0.9470630928242307,2,3,6,27,47,69,71,91
NodeId:33	1.0011760354295929,1.015279647722985,2,56,58,86
NodeId:34	0.9884564486615883,1.0018969022150528,0,7,77,78
NodeId:35	0.3478501107118204,0.35206768592716364,12,18,62,64,65,66,83,91
NodeId:36	0.6961096016314385,0.7051121629280468,12,20,30,34,61,75,77,99
NodeId:37	1.3622001443978857,1.3799775448208855,40,59,71,97
NodeId:38	1.1365852768469382,1.1520650551460443,30,41,98
NodeId:39	1.163666630429204,1.180519698701397,31,43,68,71,92
NodeId:4	0.7088178004187526,0.7193629618506632,24,42,46,86
NodeId:40	0.6731495659665536,0.6816843624581599,7,71,72,73
NodeId:41	0.8787599870563798,0.8908717317611121,44,45,49,66
NodeId:42	0.48123585150170867,0.4890710705161297,36,45,70,89,99
NodeId:43	0.930315236415215,0.9431513910707727,4,21,24,56,67,68,80,86,90
NodeId:44	0.5307917283560017,0.5377692125550944,17,37,38
NodeId:45	1.4889970902527865,1.5090390032790362,18,53,58,83,86,90
NodeId:46	0.7911981182382952,0.8020903385438143,78
NodeId:47	0.4138258897881744,0.419672205374376,5,14,52,70,73
NodeId:48	3.844335937500005e-08,2.562890625000003e-07,18,39,61,79,89
NodeId:49	1.1919627235494334,1.2086215794913169,2,29,31,39,84
NodeId:5	0.34078735578658353,0.3460652096833061,2,9,24,50,61,81,98
NodeId:50	0.7851815558583446,0.7953855776297649,0,20,46,68
NodeId:51	0.9170743037507597,0.9299670975301655,38,45,61,71
NodeId:52	0.7722019023257898,0.7817602772705297,27,31,64,91
NodeId:53	0.517703738918491,0.5236789040643297,2,13,65,78,95
NodeId:54	0.5797691258380298,0.5878047701545419,12,69,77
NodeId:55	0.6143452477467388,0.6230276995699485,10,19,22,25,51,58,62
NodeId:56	0.4564467053171192,0.4625174135387974,29,36,80,96,98
NodeId:57	0.7930430422652521,0.8041271043606275,86,94,96,98
NodeId:58	0.8194294251483013,0.8304023489876973,16,38,71,73,78
NodeId:59	0.39817691523642484,0.403931846965053,10,24,69,92
NodeId:6	0.6086233209419871,0.6175148002727191,15,22,58,80
NodeId:60	0.4778939864616294,0.4838044646381244,14,49,53,56,65
NodeId:61	0.6191237759674583,0.6278649194349477,6,9,18,20,99
NodeId:62	1.0016768196938928,1.014912395035864,11,22,33,91
NodeId:63	1.7951225893871123,1.8224106152776374,3,64,65,72
NodeId:64	0.990403497502462,1.0054251459773207,3,27,28,31,33,39,78
NodeId:65	0.9573559642202139,0.9717390488366453,27,88
NodeId:66	0.9531118960807663,0.9665217302387633,8,19,72,81,83,98
NodeId:67	0.6157098465490924,0.6236449554814483,2,26,30,31,32,45
NodeId:68	0.8844521968314744,0.8967831469172687,1,6,19,28,40,81,85
NodeId:69	0.8079590058542485,0.8193888299387517,12,22,42,46,55,72,88
NodeId:7	1.0081550933400143,1.0224031692533329,12,21,38,57,93
NodeId:70	1.2585246036423876,1.2762021676847493,20,63,99
NodeId:71	1.625314548296957,1.646478960835901,15,16,45,84,97
NodeId:72	2.091927690099167,2.12310989293258,10,49,51,92,93,95
NodeId:73	0.42138195342468376,0.42674234773848196,41,50,51,84,92
NodeId:74	0.3160656707749778,0.3199993302902142,35,54,84
